,Panchy_et_al_E_signature,Panchy_et_al_M_signature
m.DMS153,2165.99836100415,-601.2527701620364
m.NCIH60,-956.0548546458629,238.83232862873783
m.NCIH69,1139.5624851344155,-87.13755959549735
m.NCIH82,-792.0894571450908,701.4178842073169
m.NCIH128,1247.2987440263764,18.25661553052464
m.NCIH146,1159.894671302628,-261.5527745596838
m.NCIH187,1310.5470489490153,-839.6690468231714
m.NCIH209,1643.5654878852602,-753.0846644381483
m.NCIH211,1369.4066235404994,-408.6478456187074
m.NCIH250,1875.934793564365,-98.57967588554543
m.NCIH345,857.3024305343043,-375.4862312049307
m.NCIH378,-519.1506907075219,636.0540955318185
m.NCIH446,-1081.4906730796265,946.4115031232963
m.NCIH510,1875.9797938545564,-686.8864349880797
m.NCIH524,-1304.2531130942039,273.0431276245657
m.NCIH526,1419.9812042545627,-636.2315409183681
m.NCIH711,-53.15843059971996,125.17033492404894
m.NCIH735,3043.4446768133294,-771.2167235761897
m.NCIH738,634.9374897963606,-196.70686032393093
m.NCIH740,1275.993174325426,79.87486155564099
m.NCIH748,1215.403454103208,-258.4582798499051
m.NCIH774,1900.6828824957756,-484.24879312437804
m.NCIH841,-1005.8466947478374,694.5155353410386
m.NCIH865,1839.159239943669,-331.28138651071174
m.NCIH889,655.9783793503307,-101.5419889528021
m.NCIH1048,1055.6823356951325,443.4056270380785
m.NCIH1092,-441.8336296282607,53.8097537752497
m.NCIH1184,-637.338233108741,1387.3207403749143
m.NCIH1238,2263.4540118824016,-932.045486827823
m.NCIH1339,2290.824173670994,-607.3078834484677
m.NCIH1417,457.5409009349432,-368.81282187942804
m.NCIH1436,983.4800461385821,56.03907541873369
m.NCIH1450,3016.1034341237905,-1106.7281862989776
m.NCIH1514,500.51670813634007,-41.45259251461397
m.NCIH1522,459.0013299138698,-189.86153989105503
m.NCIH1607,1987.5161433255723,691.1655503298107
m.NCIH1628,2067.7719341244783,-356.1063733578633
m.NCIH1672,1020.2233317179596,-27.285489600490763
m.NCIH1688,2982.18543115539,-1413.6678888695683
m.NCIH1694,-752.7754828633325,562.9671391816062
m.NCIH1836,1031.5918139834625,-297.7214843083086
m.NCIH1870,286.21578436080233,-277.9953397623691
m.NCIH1876,748.0096049337792,-215.52688790920044
m.NCIH1882,1157.3659617899918,269.00399839534157
m.NCIH1926,194.94886237516718,-86.78000821432079
m.NCIH1930,762.2642683442566,59.83697902687652
m.NCIH1963,-115.18078222913078,16.096822785928822
m.NCIH1994,1392.6087797233504,-638.0525538772004
m.NCIH2029,1301.0166233497716,-616.386678595145
m.NCIH2081,1263.8058794689523,-84.62251798679321
m.NCIH2107,862.6854925993008,-456.6794880502684
m.NCIH2108,681.8588710692952,47.69868612051704
m.NCIH2141,1593.3794153035465,-241.00164316340337
m.NCIH2171,590.1258990835044,-64.1975033818641
m.NCIH2195,1701.209031804244,1239.612596444511
m.NCIH2196,1587.7449940437755,154.0078375915748
m.NCIH2198,1008.6951474101191,1151.424200459869
m.NCIH2227,-1011.7970787382026,433.02972926109476
m.NCIH2679,1584.7639441711196,-941.3068728579717
m.NCIH3282,886.3971015671989,147.47515950889715
m.HCC33,182.4629096424404,-108.24089342254302
m.HCC970,-1185.43392572326,647.4654140806244
m.HCC2433,-981.0909995751946,489.35666213113075
m.HCC4000,1828.6987817890918,-582.710693766386
m.HCC4001,-1135.2264325954056,239.2600446018773
m.HCC4003,1065.6489662404854,-834.295957912883
m.HCC4004,578.3645887069954,408.37719973239086
m.HCC4005,262.56126093019014,-267.28984452302234
m.SHP77,456.90785655052264,-119.18724675274198
m.HCC4002,226.25424039773193,379.2789548950518
c.COLO668,2794.346573798634,-1076.9626995496449
c.CORL24,339.5559085030745,664.1280415170625
c.CORL279,1321.0202444854347,426.5608005976645
c.CORL311,1532.613726990141,-346.7994029129525
c.CORL47,1243.344058437936,-438.9500469174609
c.CORL88,1939.8176309253663,-322.4605503864823
c.CORL95,2405.876581234348,-433.9675886817065
c.DMS114,-1298.133100006468,692.1635273060695
c.DMS153,2603.7083549621957,-573.1405934074116
c.DMS273,-815.639767440709,773.3379531438756
c.DMS454,2764.8965624835264,-1074.150166596767
c.DMS53,2844.7943945403567,-1310.589035598306
c.DMS79,1644.0483258439838,-133.3046943505043
c.HCC33,133.84782839111145,-52.16259834368336
c.NCIH1048,1290.66030122731,776.7941240944551
c.NCIH1092,32.930665398531204,-116.89512148496034
c.NCIH1105,556.8342137138018,-346.15575727814087
c.NCIH1184,-1406.2377849773627,544.6707619971708
c.NCIH1339,-420.1861987194677,1531.90387270224
c.NCIH1341,559.9442055380401,1012.61174680424
c.NCIH1436,1152.487809462773,-107.21374252650503
c.NCIH146,1304.847799926534,-84.29184562532879
c.NCIH1618,1772.0137699706868,-454.25527415502074
c.NCIH1694,-1261.0712277119403,398.5946866895503
c.NCIH1836,1570.866652163885,-387.0527565314691
c.NCIH1876,1094.7972895212388,395.24315248034685
c.NCIH1930,-47.09604177099794,-152.2096880125562
c.NCIH1963,20.008399668966632,104.99904899038222
c.NCIH196,-714.4291825028008,3570.4777638806618
c.NCIH2029,2694.3441714428864,-1091.9144865855487
c.NCIH2066,835.3655685286224,-623.4650753430911
c.NCIH2081,1545.3951455950846,-275.3235808802728
c.NCIH209,1382.2208395176613,-571.1363688082234
c.NCIH211,1466.303148658435,-95.65747774894837
c.NCIH2171,598.9123350045467,231.40312193321904
c.NCIH2196,1998.847051277517,162.63204508167127
c.NCIH2227,-1311.215817083872,491.78214591357494
c.NCIH2286,293.6862459991908,1255.3040059795408
c.NCIH446,-753.2828612848007,1332.4938221316957
c.NCIH510,2245.9943109791325,-571.5788541678679
c.NCIH524,-1331.2611882866502,315.4632486970446
c.NCIH526,1784.9874725524155,-702.5848756331416
c.NCIH69,1215.735277421479,232.80740989283646
c.NCIH82,-1146.6198273213133,487.25389037996024
c.NCIH841,-619.8857903663903,731.648005533018
c.NCIH889,609.5795505960239,365.1585923386227
c.SBC5,-262.8695235317816,485.48828619976535
c.SCLC21H,830.016350226621,-502.59987072696237
c.SHP77,404.89330821551704,151.00428037012676
c.SW1271,-410.5284847275402,1136.3968820561947
